t,mean_H2O,mean_CO2,mean_O2,mean_SUGAR,mean_ATP,mean_PROTEIN,mean_MITOGEN
163,0.982824,0.982435,0.982748,0.970464,1.927888,0.009077,0.03446
164,0.982821,0.982432,0.98275,0.970453,1.927708,0.009114,0.034435
165,0.982819,0.982429,0.982753,0.970433,1.927527,0.00916,0.034409
166,0.982817,0.982428,0.982755,0.970426,1.927354,0.009198,0.034379
167,0.982816,0.982426,0.982756,0.970424,1.927181,0.00923,0.034349
168,0.982814,0.982425,0.982758,0.970408,1.927008,0.009272,0.034323
169,0.982813,0.982423,0.982759,0.970391,1.926834,0.009319,0.034293
170,0.982811,0.982421,0.982761,0.97038,1.926661,0.009356,0.034268
171,0.98281,0.98242,0.982762,0.970368,1.926487,0.009393,0.034243
172,0.982808,0.982418,0.982764,0.970361,1.926314,0.009426,0.034218
173,0.982807,0.982417,0.982765,0.970353,1.92614,0.009458,0.034192
174,0.982805,0.982415,0.982767,0.970346,1.925966,0.009491,0.034167
175,0.982804,0.982414,0.982768,0.970334,1.925792,0.009528,0.034142
176,0.982802,0.982412,0.98277,0.970327,1.925618,0.009566,0.034112
177,0.982801,0.982411,0.982771,0.970324,1.925444,0.009603,0.034078
178,0.982799,0.982409,0.982773,0.970312,1.925278,0.00965,0.034043
179,0.982798,0.982408,0.982774,0.9703,1.925111,0.009692,0.034014
180,0.982796,0.982407,0.982776,0.970288,1.924944,0.009734,0.033984
181,0.982796,0.982406,0.982776,0.97028,1.924785,0.009776,0.03395
182,0.982795,0.982405,0.982777,0.970268,1.924626,0.009823,0.033915
183,0.982794,0.982404,0.982778,0.970251,1.924467,0.009874,0.033881
184,0.982793,0.982404,0.982778,0.970239,1.924308,0.009921,0.033847
185,0.982793,0.982403,0.982779,0.970226,1.924148,0.009968,0.033813
186,0.982792,0.982402,0.98278,0.970218,1.923989,0.01001,0.033779
187,0.982791,0.982402,0.982781,0.970201,1.923829,0.010061,0.033744
188,0.982791,0.982401,0.982781,0.970189,1.92367,0.010108,0.03371
189,0.98279,0.9824,0.982782,0.970181,1.92351,0.01015,0.033676
190,0.982789,0.9824,0.982783,0.970168,1.923351,0.010197,0.033642
191,0.982788,0.982399,0.982783,0.970151,1.923191,0.010248,0.033608
192,0.982788,0.982398,0.982784,0.970143,1.923031,0.01029,0.033574
193,0.982787,0.982397,0.982785,0.970139,1.922871,0.010328,0.033541
194,0.982786,0.982397,0.982786,0.970131,1.922711,0.01037,0.033507
195,0.982786,0.982396,0.982786,0.970123,1.922551,0.010412,0.033473
196,0.982785,0.982395,0.982787,0.970115,1.922392,0.010454,0.033439
197,0.982784,0.982395,0.982788,0.970111,1.922231,0.010492,0.033405
198,0.982783,0.982394,0.982788,0.970117,1.922071,0.01052,0.033371
199,0.982783,0.982393,0.982789,0.970113,1.921911,0.010557,0.033338
200,0.982782,0.982392,0.98279,0.970114,1.921751,0.01059,0.033304
201,0.982781,0.982392,0.982791,0.970101,1.921591,0.010637,0.03327
202,0.982781,0.982391,0.982791,0.970097,1.921431,0.010675,0.033237
203,0.98278,0.98239,0.982792,0.970089,1.92127,0.010717,0.033203
204,0.982779,0.98239,0.982793,0.970085,1.92111,0.010754,0.03317
205,0.982778,0.982389,0.982793,0.970081,1.92095,0.010792,0.033136
206,0.982778,0.982388,0.982794,0.970077,1.920789,0.010825,0.033108
207,0.982777,0.982387,0.982795,0.970073,1.920629,0.010862,0.033074
208,0.982776,0.982387,0.982796,0.970069,1.920468,0.0109,0.033041
209,0.982776,0.982386,0.982796,0.97006,1.920308,0.010937,0.033012
210,0.982775,0.982385,0.982797,0.970046,1.920147,0.010984,0.032979
211,0.982774,0.982385,0.982798,0.970033,1.919987,0.011027,0.03295
212,0.982773,0.982384,0.982798,0.970019,1.919826,0.011074,0.032917
213,0.982773,0.982383,0.982799,0.970005,1.919665,0.011121,0.032884
214,0.982772,0.982382,0.9828,0.969991,1.919505,0.011168,0.032851
215,0.982771,0.982382,0.982801,0.969968,1.919344,0.01122,0.032822
216,0.982771,0.982381,0.982801,0.969949,1.919183,0.011272,0.032789
217,0.98277,0.98238,0.982802,0.969921,1.919022,0.011324,0.032766
218,0.982769,0.98238,0.982803,0.969907,1.918869,0.011371,0.032733
219,0.982768,0.982379,0.982804,0.969898,1.918724,0.011413,0.032699
220,0.982767,0.982378,0.982805,0.969894,1.918578,0.011446,0.032671
221,0.982766,0.982377,0.982806,0.969894,1.918433,0.011474,0.032643
222,0.982765,0.982376,0.982807,0.96989,1.918287,0.011502,0.032619
223,0.982764,0.982375,0.982808,0.969876,1.918142,0.01154,0.032596
224,0.982763,0.982374,0.982809,0.969871,1.917996,0.011573,0.032568
225,0.982762,0.982373,0.98281,0.969867,1.91785,0.011605,0.032539
226,0.982761,0.982372,0.982811,0.969862,1.917705,0.011638,0.032511
227,0.98276,0.982371,0.982812,0.969848,1.917559,0.011676,0.032488
228,0.982759,0.98237,0.982813,0.969824,1.917413,0.011723,0.032465
229,0.982758,0.982369,0.982814,0.969801,1.917268,0.01177,0.032441
230,0.982757,0.982368,0.982815,0.969786,1.917122,0.011813,0.032414
231,0.982756,0.982367,0.982816,0.969762,1.916976,0.011855,0.032395
232,0.982755,0.982366,0.982817,0.969743,1.916831,0.011897,0.032372
233,0.982754,0.982365,0.982818,0.969729,1.916685,0.011939,0.032345
234,0.982754,0.982364,0.982818,0.969714,1.916547,0.011982,0.032317
235,0.982753,0.982363,0.982819,0.9697,1.916408,0.012024,0.032289
236,0.982752,0.982363,0.98282,0.96969,1.91627,0.012062,0.032261
237,0.982752,0.982362,0.98282,0.96968,1.916132,0.012099,0.032234
238,0.982751,0.982361,0.982821,0.969676,1.915993,0.012137,0.032201
239,0.98275,0.982361,0.982822,0.969676,1.915855,0.01217,0.032168
240,0.98275,0.98236,0.982822,0.969666,1.915717,0.012212,0.032136
241,0.982749,0.982359,0.982823,0.969661,1.915578,0.01225,0.032103
242,0.982748,0.982359,0.982823,0.969646,1.91544,0.012292,0.032076
243,0.982748,0.982358,0.982824,0.969626,1.915302,0.012339,0.032048
244,0.982747,0.982358,0.982825,0.969621,1.915163,0.012372,0.032021
245,0.982746,0.982357,0.982825,0.969626,1.915025,0.0124,0.031988
246,0.982746,0.982356,0.982826,0.969616,1.914886,0.012438,0.031961
247,0.982745,0.982356,0.982827,0.969596,1.914748,0.012485,0.031934
248,0.982745,0.982355,0.982827,0.96959,1.91461,0.012523,0.031901
249,0.982744,0.982354,0.982828,0.969585,1.914471,0.012561,0.031869
250,0.982743,0.982354,0.982829,0.969584,1.914333,0.012593,0.031837
251,0.982743,0.982353,0.982829,0.969574,1.914194,0.012636,0.031805
252,0.982742,0.982352,0.98283,0.969564,1.914056,0.012678,0.031773
253,0.982743,0.982353,0.982829,0.969559,1.913925,0.012716,0.03174
254,0.982743,0.982354,0.982829,0.969543,1.913794,0.012763,0.031708
255,0.982744,0.982354,0.982828,0.969533,1.913671,0.012801,0.031681
256,0.982744,0.982355,0.982828,0.969527,1.913556,0.012838,0.031649
257,0.982745,0.982355,0.982827,0.969531,1.913441,0.012867,0.031617
258,0.982745,0.982355,0.982827,0.96953,1.913325,0.012899,0.031585
259,0.982745,0.982356,0.982827,0.96952,1.91321,0.012942,0.031553
260,0.982746,0.982356,0.982826,0.969524,1.913095,0.01297,0.03152
261,0.982746,0.982356,0.982826,0.969528,1.912979,0.012998,0.031488
262,0.982746,0.982357,0.982826,0.969531,1.912864,0.013026,0.031457
263,0.982747,0.982357,0.982825,0.969525,1.912749,0.013059,0.03143
264,0.982747,0.982357,0.982825,0.969529,1.912633,0.013087,0.031398
265,0.982747,0.982358,0.982825,0.969528,1.912518,0.01312,0.031366
266,0.982748,0.982358,0.982824,0.969527,1.912402,0.013148,0.031339
267,0.982748,0.982358,0.982824,0.969531,1.912287,0.013176,0.031307
268,0.982748,0.982359,0.982824,0.969529,1.912172,0.013209,0.031275
269,0.982749,0.982359,0.982823,0.969528,1.912056,0.013242,0.031244
270,0.982749,0.982359,0.982823,0.969541,1.911941,0.013261,0.031212
271,0.982749,0.98236,0.982823,0.96954,1.911825,0.013289,0.031185
272,0.98275,0.98236,0.982822,0.969543,1.91171,0.013312,0.031159
273,0.98275,0.98236,0.982822,0.969541,1.911594,0.013345,0.031127
274,0.98275,0.982361,0.982822,0.969535,1.911479,0.013378,0.0311
275,0.982751,0.982361,0.982821,0.969534,1.911364,0.013411,0.031069
276,0.982751,0.982361,0.982821,0.969532,1.911248,0.013439,0.031042
277,0.982751,0.982362,0.982821,0.969545,1.911133,0.013458,0.031011
278,0.982752,0.982362,0.98282,0.969538,1.911017,0.013486,0.030989
279,0.982752,0.982362,0.98282,0.969551,1.910902,0.013504,0.030958
280,0.982752,0.982363,0.982819,0.969559,1.910786,0.013528,0.030926
281,0.982753,0.982363,0.982819,0.969558,1.910671,0.013561,0.030895
282,0.982753,0.982364,0.982819,0.969561,1.910555,0.013589,0.030864
283,0.982754,0.982364,0.982818,0.969564,1.91044,0.013617,0.030832
284,0.982754,0.982364,0.982818,0.969567,1.910324,0.013645,0.030801
285,0.982754,0.982365,0.982818,0.969561,1.910209,0.013683,0.03077
286,0.982755,0.982365,0.982817,0.969549,1.910093,0.013725,0.030738
287,0.982755,0.982365,0.982817,0.969543,1.909978,0.013763,0.030707
288,0.982755,0.982366,0.982817,0.969546,1.909862,0.013791,0.030676
289,0.982756,0.982366,0.982816,0.969544,1.909747,0.013824,0.030645
290,0.982756,0.982366,0.982816,0.969547,1.909631,0.013852,0.030614
291,0.982756,0.982367,0.982815,0.96955,1.909516,0.01388,0.030583
292,0.982757,0.982367,0.982815,0.969552,1.9094,0.013909,0.030552
293,0.982757,0.982368,0.982815,0.969555,1.909284,0.013937,0.030521
294,0.982758,0.982368,0.982814,0.969553,1.909169,0.013965,0.030495
295,0.982758,0.982368,0.982814,0.969555,1.909053,0.013988,0.030469
296,0.982758,0.982369,0.982814,0.969558,1.908938,0.014011,0.030443
297,0.982759,0.982369,0.982813,0.969556,1.908822,0.014039,0.030417
298,0.982759,0.982369,0.982813,0.969544,1.908707,0.014077,0.030391
299,0.982759,0.98237,0.982812,0.969551,1.908591,0.014096,0.030366
300,0.98276,0.98237,0.982812,0.969558,1.908476,0.014114,0.03034
301,0.98276,0.982371,0.982812,0.969565,1.90836,0.014133,0.030314
302,0.982761,0.982371,0.982811,0.969572,1.908244,0.014151,0.030288
303,0.982761,0.982371,0.982811,0.969584,1.908129,0.014165,0.030263
304,0.982761,0.982372,0.982811,0.969596,1.908013,0.014179,0.030237
305,0.982762,0.982372,0.98281,0.969598,1.907898,0.014197,0.030216
306,0.982762,0.982373,0.98281,0.96961,1.907782,0.014211,0.030191
307,0.982763,0.982373,0.982809,0.969612,1.907666,0.014229,0.03017
308,0.982763,0.982373,0.982809,0.969619,1.907551,0.014253,0.03014
309,0.982763,0.982374,0.982809,0.969627,1.907435,0.014276,0.030109
310,0.982764,0.982374,0.982808,0.969634,1.90732,0.014299,0.030078
311,0.982764,0.982375,0.982808,0.969641,1.907204,0.014323,0.030048
312,0.982765,0.982375,0.982807,0.969653,1.907088,0.014341,0.030017
313,0.982765,0.982375,0.982807,0.969665,1.906973,0.01436,0.029987
314,0.982765,0.982376,0.982807,0.969676,1.906857,0.014378,0.029956
315,0.982766,0.982376,0.982806,0.969688,1.906742,0.014397,0.029926
316,0.982766,0.982377,0.982806,0.969695,1.906626,0.01442,0.029896
317,0.982767,0.982377,0.982805,0.969702,1.90651,0.014444,0.029865
318,0.982767,0.982377,0.982805,0.969709,1.906395,0.014467,0.029835
319,0.982767,0.982378,0.982805,0.969706,1.906279,0.0145,0.029805
320,0.982768,0.982378,0.982804,0.969699,1.906163,0.014538,0.029774
321,0.982768,0.982379,0.982804,0.969696,1.906048,0.014571,0.029744
322,0.982769,0.982379,0.982803,0.969698,1.905932,0.014599,0.029714
323,0.982769,0.982379,0.982803,0.969695,1.905816,0.014632,0.029684
324,0.982769,0.98238,0.982802,0.969682,1.905701,0.01467,0.029659
325,0.98277,0.98238,0.982802,0.969669,1.905585,0.014712,0.029629
326,0.98277,0.982381,0.982802,0.969656,1.90547,0.01475,0.029604
327,0.982771,0.982381,0.982801,0.969653,1.905354,0.014778,0.029579
328,0.982771,0.982381,0.982801,0.969645,1.905238,0.014811,0.029554
329,0.982772,0.982383,0.9828,0.969637,1.90513,0.014849,0.029524
330,0.982774,0.982384,0.982798,0.969634,1.90503,0.014882,0.029494
331,0.982775,0.982385,0.982797,0.96963,1.90493,0.014915,0.029464
332,0.982776,0.982386,0.982796,0.969622,1.90483,0.014948,0.029439
333,0.982777,0.982388,0.982795,0.969619,1.90473,0.014981,0.029409
334,0.982779,0.982389,0.982793,0.969615,1.90463,0.01501,0.029384
335,0.98278,0.98239,0.982792,0.969601,1.904529,0.015043,0.029365
336,0.982781,0.982391,0.982791,0.969588,1.904429,0.015076,0.029345
337,0.982782,0.982393,0.98279,0.969584,1.904329,0.015104,0.02932
338,0.982784,0.982394,0.982788,0.969581,1.904229,0.015132,0.029296
339,0.982785,0.982395,0.982787,0.969582,1.904129,0.01516,0.029266
340,0.982786,0.982396,0.982786,0.969583,1.904029,0.015188,0.029236
341,0.982787,0.982398,0.982785,0.969589,1.903929,0.015212,0.029207
342,0.982789,0.982399,0.982783,0.969595,1.903828,0.015235,0.029177
343,0.98279,0.9824,0.982782,0.969601,1.903728,0.015258,0.029148
344,0.982791,0.982401,0.982781,0.969606,1.903628,0.015282,0.029118
345,0.982792,0.982403,0.98278,0.969612,1.903528,0.015306,0.029089
346,0.982793,0.982404,0.982778,0.969613,1.903428,0.015329,0.029065
347,0.982795,0.982405,0.982777,0.969609,1.903328,0.015362,0.029035
348,0.982796,0.982406,0.982776,0.96961,1.903227,0.01539,0.029006
349,0.982797,0.982407,0.982775,0.969606,1.903127,0.015419,0.028982
350,0.982798,0.982409,0.982774,0.969606,1.903027,0.015442,0.028957
351,0.982799,0.98241,0.982772,0.969612,1.902927,0.015465,0.028928
352,0.982801,0.982411,0.982771,0.969608,1.902827,0.015494,0.028904
353,0.982802,0.982412,0.98277,0.969604,1.902727,0.015527,0.028875
354,0.982803,0.982413,0.982769,0.9696,1.902626,0.01556,0.028846
355,0.982804,0.982415,0.982768,0.969596,1.902526,0.015593,0.028816
356,0.982805,0.982416,0.982766,0.969601,1.902426,0.015616,0.028787
357,0.982807,0.982417,0.982765,0.969607,1.902326,0.015639,0.028758
358,0.982808,0.982418,0.982764,0.969612,1.902226,0.015663,0.028729
359,0.982809,0.982419,0.982763,0.969613,1.902126,0.015691,0.0287
360,0.98281,0.982421,0.982762,0.969608,1.902025,0.015724,0.028672
